brand,model,year,price_krw,mileage_km,fuel_type,transmission,body_type,displacement_cc,link
현대,기아 더 뉴 카니발 4세대 3.5 가솔린 9인승 하이리무진  시그니처,2025,2000000.0,4200,가솔린,자동,,3470294,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256901&gubun=K
현대,기아 더 뉴 K5 3세대 2.0  베스트 셀렉션,2026,0.0,30,가솔린,자동,,1999160,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257294&gubun=K
현대,기아 올 뉴 모닝 1.0  럭셔리,2012,3300000.0,119824,가솔린,자동,,99882,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257060&gubun=K
현대,기아 더 뉴 K8 2.5  베스트 셀렉션,2026,0.0,30,가솔린,자동,,2497198,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257293&gubun=K
현대,기아 더 뉴 레이  1.0 밴 고급형,2019,7300000.0,75387,가솔린,자동,,99878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2250963&gubun=K
현대,기아 모하비 더 마스터  3.0 디젤 4WD 5인승 플래티넘,2020,25990000.0,132993,디젤,자동,,2959260,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2250034&gubun=K
현대,기아 더 뉴 K3   1.6 노블레스,2022,19990000.0,57881,가솔린,자동,,1598123,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2251156&gubun=K
현대,기아 K8  2.5 노블레스,2021,27990000.0,19276,가솔린,자동,,2497198,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255289&gubun=K
현대,기아 K5 3세대  2.0 노블레스,2021,23990000.0,73472,가솔린,자동,,1999160,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255169&gubun=K
현대,기아 올 뉴 모닝   1.0 럭셔리,2019,9690000.0,47050,가솔린,자동,,998,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255544&gubun=K
현대,기아 올 뉴 K7  3.3 리미티드 에디션,2017,9990000.0,101173,가솔린,자동,,3342290,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256496&gubun=K
현대,기아 K5 하이브리드 3세대  2.0 HEV 노블레스,2022,25990000.0,86957,가솔린 하이브리드,자동,,1999152,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256608&gubun=K
현대,기아 올 뉴 카니발  3.3 가솔린 9인승 하이리무진 노블레스,2016,19300000.0,101244,가솔린,자동,,3342280,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2251252&gubun=K
현대,기아 스팅어  3.3 터보 GT,2017,17900000.0,143880,가솔린,자동,,3342370,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256170&gubun=K
현대,기아 K9  3.3 노블레스 스페셜,2012,7900000.0,185007,가솔린,자동,,3342300,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257140&gubun=K
현대,기아 K5 2세대  2.0 터보 SX GT,2017,13900000.0,103217,가솔린,자동,,1998245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256637&gubun=K
현대,기아 K5  2.0 노블레스,2010,4900000.0,190557,가솔린,자동,,1998165,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256881&gubun=K
현대,기아 올 뉴 모닝 1.0 디럭스 스페셜,2013,4000000.0,76467,가솔린,자동,,99882,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2248735&gubun=K
현대,기아 뉴 카니발 R 2.2 디젤 리무진 프레지던트,2012,4800000.0,211748,디젤,자동,,2199197,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2246776&gubun=K
현대,기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,2017,15600000.0,91758,디젤,자동,,2199202,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2249431&gubun=K
현대,기아 올 뉴 프라이드 1.6 5도어 프레스티지,2014,6600000.0,103781,가솔린,자동,,1591140,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2252923&gubun=K
